aX,aY,aZ,gX,gY,gZ
8.607,3.895,4.405,-1.359,0.076,-0.144
8.756,3.596,4.489,-1.339,0.066,-0.145
8.902,3.618,4.475,-1.343,0.098,-0.204
8.191,3.462,5.033,-1.136,0.209,-0.152
7.649,3.163,5.440,-1.007,0.179,-0.086
7.757,2.945,5.483,-1.019,0.011,-0.061
8.162,3.026,5.310,-1.182,-0.209,-0.116
8.708,3.194,4.990,-1.261,-0.282,-0.184
8.885,3.340,4.939,-1.201,-0.232,-0.224
8.662,3.328,5.150,-0.942,-0.141,-0.186
8.626,3.081,5.272,-0.701,-0.079,-0.111
8.789,2.959,5.270,-0.512,-0.026,-0.062
8.504,3.019,5.495,-0.249,0.110,0.003
8.411,3.043,5.701,-0.122,0.126,0.043
8.229,3.168,5.890,-0.087,0.096,0.059
8.377,3.354,5.725,-0.140,-0.038,0.047
8.483,3.484,5.598,-0.155,-0.098,0.036
8.523,3.572,5.574,-0.128,-0.120,0.030
8.519,3.527,5.557,-0.034,-0.132,0.045
8.449,3.474,5.569,0.027,-0.121,0.056
8.507,3.428,5.574,0.048,-0.109,0.054
8.464,3.548,5.557,-0.002,-0.106,0.018
8.384,3.634,5.538,-0.073,-0.139,-0.015
8.387,3.704,5.409,-0.136,-0.193,-0.041
8.406,3.742,5.253,-0.184,-0.223,-0.066
8.435,3.723,5.176,-0.198,-0.215,-0.080
8.413,3.709,5.140,-0.209,-0.193,-0.101
8.270,3.713,5.150,-0.207,-0.178,-0.108
8.231,3.694,5.136,-0.215,-0.183,-0.112
8.042,3.804,4.920,-0.189,-0.127,-0.131
8.009,3.711,4.815,-0.152,-0.130,-0.109
8.030,3.644,4.714,-0.103,-0.096,-0.085
7.999,3.661,4.745,-0.087,-0.064,-0.077
7.951,3.723,4.815,-0.099,-0.043,-0.075
7.910,3.845,4.872,-0.149,-0.035,-0.079
7.906,3.936,4.853,-0.198,-0.048,-0.085
7.932,3.991,4.781,-0.224,-0.050,-0.087
7.925,4.068,4.741,-0.227,-0.024,-0.084
7.891,4.087,4.803,-0.213,-0.001,-0.078
7.872,4.104,4.822,-0.203,0.018,-0.070
7.848,4.144,4.870,-0.203,0.043,-0.063
7.819,4.187,4.894,-0.223,0.052,-0.065
7.762,4.240,4.915,-0.251,0.054,-0.066
7.712,4.269,4.942,-0.296,0.044,-0.065
7.695,4.257,4.932,-0.333,0.033,-0.065
7.738,4.235,4.894,-0.374,0.022,-0.066
7.779,4.245,4.872,-0.423,0.015,-0.070
7.769,4.250,4.839,-0.442,0.016,-0.066
7.784,4.209,4.848,-0.435,0.032,-0.050
7.815,4.149,4.858,-0.423,0.050,-0.034
7.831,4.106,4.903,-0.416,0.076,-0.022
7.827,4.053,5.004,-0.424,0.108,-0.010
7.803,4.041,5.057,-0.454,0.117,-0.009
7.796,4.015,5.085,-0.488,0.121,-0.011
7.760,3.984,5.133,-0.516,0.129,-0.014
7.705,3.888,5.205,-0.508,0.137,-0.005
7.728,3.778,5.239,-0.501,0.141,0.002
7.728,3.677,5.315,-0.495,0.150,0.005
7.695,3.622,5.373,-0.495,0.144,0.005
7.661,3.584,5.399,-0.500,0.129,0.002
7.645,3.584,5.430,-0.498,0.108,-0.002
7.585,3.553,5.459,-0.486,0.080,0.001
7.568,3.517,5.430,-0.456,0.042,0.009
7.556,3.452,5.389,-0.379,-0.004,0.032
7.549,3.412,5.346,-0.300,-0.031,0.055
7.575,3.357,5.303,-0.212,-0.054,0.078
7.614,3.304,5.250,-0.099,-0.074,0.108
7.642,3.302,5.200,-0.024,-0.083,0.126
7.649,3.309,5.188,0.044,-0.084,0.143
7.642,3.333,5.174,0.111,-0.089,0.157
7.645,3.361,5.143,0.139,-0.094,0.163
7.661,3.407,5.121,0.149,-0.096,0.161
7.669,3.469,5.107,0.140,-0.105,0.152
7.697,3.496,5.059,0.122,-0.116,0.144
7.712,3.536,4.999,0.098,-0.120,0.132
7.743,3.601,4.934,0.057,-0.118,0.111
7.733,3.642,4.875,0.020,-0.121,0.092
7.757,3.687,4.808,-0.020,-0.127,0.072
7.740,3.728,4.726,-0.063,-0.138,0.050
7.724,3.730,4.666,-0.082,-0.146,0.039
7.724,3.701,4.585,-0.087,-0.154,0.032
7.728,3.682,4.515,-0.077,-0.158,0.030
7.728,3.654,4.487,-0.053,-0.152,0.035
7.700,3.627,4.472,-0.020,-0.145,0.043
7.690,3.575,4.465,0.023,-0.143,0.056
7.697,3.551,4.468,0.050,-0.146,0.066
7.707,3.524,4.460,0.073,-0.151,0.074
7.721,3.484,4.456,0.098,-0.159,0.081
7.767,3.457,4.408,0.110,-0.168,0.084
7.798,3.467,4.398,0.120,-0.167,0.085
7.793,3.460,4.405,0.131,-0.163,0.085
7.805,3.450,4.401,0.135,-0.159,0.086
7.819,3.438,4.384,0.136,-0.153,0.085
7.853,3.450,4.355,0.133,-0.139,0.083
