aX,aY,aZ,gX,gY,gZ
6.038,3.275,-8.068,-0.139,-0.147,-0.009
6.050,3.282,-8.112,-0.149,-0.145,-0.009
6.072,3.304,-8.150,-0.165,-0.141,-0.007
6.084,3.306,-8.164,-0.177,-0.136,-0.006
6.093,3.309,-8.186,-0.188,-0.131,-0.006
6.093,3.275,-8.207,-0.199,-0.124,-0.005
6.084,3.254,-8.226,-0.205,-0.120,-0.005
6.084,3.225,-8.253,-0.209,-0.114,-0.004
6.096,3.203,-8.274,-0.208,-0.108,-0.003
6.124,3.081,-8.270,-0.176,-0.087,-0.002
6.129,3.060,-8.265,-0.168,-0.083,-0.002
6.141,3.045,-8.265,-0.158,-0.077,-0.002
6.146,3.033,-8.234,-0.146,-0.072,-0.004
6.122,3.038,-8.215,-0.137,-0.069,-0.007
6.096,3.029,-8.229,-0.129,-0.068,-0.010
6.086,3.019,-8.274,-0.115,-0.066,-0.015
6.074,3.007,-8.286,-0.103,-0.066,-0.017
6.074,2.974,-8.265,-0.090,-0.064,-0.019
6.069,2.990,-8.231,-0.082,-0.063,-0.021
6.081,3.024,-8.215,-0.075,-0.064,-0.023
6.074,3.053,-8.210,-0.066,-0.067,-0.027
6.072,3.062,-8.200,-0.059,-0.068,-0.029
6.055,3.074,-8.181,-0.053,-0.068,-0.034
6.062,3.103,-8.179,-0.051,-0.068,-0.037
6.045,3.139,-8.164,-0.051,-0.066,-0.041
6.033,3.177,-8.162,-0.053,-0.062,-0.047
6.031,3.201,-8.164,-0.057,-0.060,-0.053
6.033,3.225,-8.147,-0.061,-0.057,-0.058
6.026,3.239,-8.155,-0.070,-0.054,-0.064
6.009,3.259,-8.133,-0.076,-0.050,-0.069
5.990,3.259,-8.112,-0.084,-0.044,-0.073
5.976,3.266,-8.092,-0.090,-0.041,-0.074
5.959,3.259,-8.066,-0.094,-0.038,-0.074
5.938,3.261,-8.047,-0.096,-0.035,-0.074
5.906,3.251,-8.030,-0.098,-0.033,-0.072
5.892,3.247,-8.004,-0.098,-0.031,-0.069
5.890,3.235,-7.961,-0.097,-0.028,-0.064
5.880,3.251,-7.920,-0.094,-0.026,-0.060
5.868,3.285,-7.884,-0.092,-0.023,-0.055
5.854,3.299,-7.867,-0.090,-0.022,-0.051
5.827,3.302,-7.841,-0.088,-0.022,-0.049
5.801,3.323,-7.803,-0.084,-0.022,-0.046
5.780,3.333,-7.779,-0.080,-0.024,-0.044
5.763,3.349,-7.738,-0.077,-0.026,-0.042
5.746,3.357,-7.726,-0.071,-0.031,-0.038
5.729,3.354,-7.697,-0.067,-0.038,-0.034
5.708,3.366,-7.719,-0.064,-0.045,-0.030
5.705,3.376,-7.714,-0.062,-0.051,-0.025
5.715,3.393,-7.707,-0.062,-0.055,-0.019
5.727,3.419,-7.700,-0.064,-0.060,-0.012
5.746,3.438,-7.690,-0.067,-0.064,-0.007
5.739,3.457,-7.690,-0.075,-0.069,-0.000
5.741,3.462,-7.678,-0.081,-0.074,0.004
5.765,3.467,-7.700,-0.087,-0.076,0.007
5.813,3.448,-7.707,-0.098,-0.078,0.012
5.830,3.436,-7.700,-0.108,-0.079,0.015
5.847,3.428,-7.697,-0.118,-0.081,0.018
5.871,3.417,-7.733,-0.132,-0.081,0.019
5.887,3.414,-7.743,-0.139,-0.082,0.021
5.887,3.400,-7.733,-0.146,-0.084,0.020
5.878,3.393,-7.769,-0.153,-0.088,0.021
5.856,3.369,-7.805,-0.157,-0.092,0.020
5.856,3.338,-7.848,-0.161,-0.096,0.019
5.859,3.302,-7.887,-0.160,-0.101,0.019
5.909,3.177,-7.942,-0.125,-0.117,0.023
5.933,3.168,-7.939,-0.114,-0.118,0.026
5.950,3.160,-7.958,-0.102,-0.118,0.027
5.964,3.172,-7.999,-0.088,-0.117,0.028
5.971,3.189,-8.023,-0.079,-0.115,0.029
5.990,3.211,-8.033,-0.070,-0.113,0.028
5.995,3.235,-8.045,-0.060,-0.109,0.026
6.009,3.242,-8.045,-0.055,-0.107,0.024
6.017,3.249,-8.059,-0.053,-0.105,0.021
6.017,3.270,-8.076,-0.054,-0.102,0.018
6.017,3.259,-8.090,-0.055,-0.099,0.015
6.029,3.254,-8.100,-0.062,-0.095,0.012
6.019,3.254,-8.095,-0.068,-0.092,0.008
6.017,3.242,-8.083,-0.073,-0.090,0.006
5.993,3.232,-8.095,-0.077,-0.086,0.002
5.981,3.215,-8.097,-0.080,-0.085,-0.001
5.959,3.206,-8.119,-0.082,-0.083,-0.004
5.942,3.187,-8.143,-0.084,-0.081,-0.008
5.930,3.172,-8.135,-0.084,-0.079,-0.010
5.916,3.158,-8.121,-0.083,-0.077,-0.012
5.899,3.146,-8.119,-0.080,-0.076,-0.013
5.902,3.139,-8.112,-0.077,-0.074,-0.015
5.911,3.148,-8.109,-0.073,-0.072,-0.016
5.904,3.172,-8.114,-0.071,-0.071,-0.017
5.892,3.189,-8.128,-0.069,-0.070,-0.018
5.856,3.208,-8.164,-0.068,-0.069,-0.019
5.844,3.223,-8.155,-0.068,-0.070,-0.020
5.827,3.254,-8.152,-0.069,-0.070,-0.023
5.820,3.273,-8.179,-0.070,-0.070,-0.025
5.804,3.294,-8.179,-0.070,-0.069,-0.027
5.796,3.306,-8.212,-0.070,-0.068,-0.028
5.787,3.304,-8.212,-0.068,-0.068,-0.029
5.777,3.302,-8.215,-0.064,-0.067,-0.030
5.768,3.294,-8.215,-0.062,-0.065,-0.029
5.760,3.287,-8.210,-0.058,-0.064,-0.028
5.760,3.285,-8.229,-0.051,-0.062,-0.028
5.763,3.309,-8.250,-0.044,-0.060,-0.027
5.770,3.335,-8.255,-0.039,-0.057,-0.026
5.782,3.340,-8.265,-0.034,-0.054,-0.026
5.775,3.354,-8.291,-0.031,-0.052,-0.026
5.770,3.388,-8.313,-0.030,-0.050,-0.026
5.777,3.433,-8.317,-0.031,-0.047,-0.027
5.799,3.440,-8.322,-0.035,-0.044,-0.027
5.804,3.455,-8.325,-0.042,-0.040,-0.028

3.883,6.926,-10.051,0.192,-5.120,-2.389
3.898,7.209,-10.329,-0.009,-4.975,-2.328
3.824,7.274,-10.623,-0.271,-4.797,-2.249
