aX,aY,aZ,gX,gY,gZ
3.713,-4.515,1.410,-0.718,0.960,1.403
3.565,-4.393,1.511,-0.680,0.916,1.322
3.440,-4.226,1.595,-0.630,0.870,1.244
3.299,-3.926,1.666,-0.560,0.798,1.137
3.208,-3.668,1.724,-0.508,0.741,1.054
3.127,-3.299,1.848,-0.450,0.665,0.940
3.093,-2.957,1.939,-0.423,0.611,0.848
3.079,-2.591,2.066,-0.407,0.565,0.749
3.050,-2.131,2.184,-0.395,0.505,0.612
3.072,-1.781,2.291,-0.390,0.462,0.511
3.148,-1.401,2.444,-0.382,0.428,0.408
3.290,-0.845,2.686,-0.356,0.427,0.272
3.359,-0.469,2.861,-0.307,0.458,0.177
3.424,-0.101,3.053,-0.246,0.492,0.093
3.476,0.455,3.273,-0.156,0.506,-0.006
3.500,0.900,3.462,-0.083,0.488,-0.071
3.519,1.398,3.630,-0.014,0.430,-0.131
3.484,2.109,3.929,0.081,0.320,-0.200
3.467,2.653,4.161,0.156,0.229,-0.233
3.503,3.230,4.434,0.237,0.159,-0.252
3.601,3.941,4.762,0.345,0.096,-0.260
3.687,4.429,5.004,0.420,0.058,-0.259
3.792,4.870,5.219,0.485,0.028,-0.255
3.996,5.490,5.466,0.544,-0.004,-0.252
4.154,5.957,5.600,0.561,-0.028,-0.250
4.374,6.414,5.732,0.560,-0.073,-0.250
4.714,6.984,5.816,0.536,-0.156,-0.255
4.958,7.360,5.878,0.519,-0.220,-0.255
5.243,7.690,5.962,0.512,-0.274,-0.243
5.677,7.970,6.067,0.533,-0.310,-0.208
6.014,8.109,6.057,0.568,-0.326,-0.172
6.333,8.181,6.002,0.617,-0.351,-0.131
6.773,8.164,5.926,0.701,-0.418,-0.066
7.096,8.112,5.873,0.779,-0.485,-0.012
7.451,8.037,5.854,0.863,-0.549,0.043
7.822,7.851,5.818,0.989,-0.598,0.121
7.999,7.642,5.765,1.098,-0.624,0.191
8.135,7.422,5.727,1.204,-0.621,0.265
8.399,7.120,5.713,1.315,-0.571,0.356
8.564,6.888,5.667,1.365,-0.526,0.407
8.691,6.677,5.612,1.383,-0.489,0.438
8.780,6.419,5.564,1.367,-0.441,0.454
8.784,6.246,5.476,1.338,-0.419,0.456
8.803,6.124,5.425,1.302,-0.400,0.455
8.775,5.974,5.341,1.259,-0.347,0.454
8.782,5.851,5.255,1.228,-0.304,0.455
8.803,5.715,5.157,1.198,-0.260,0.456
8.827,5.511,5.047,1.162,-0.208,0.456
8.866,5.351,4.973,1.133,-0.166,0.452
8.818,5.140,4.841,1.101,-0.149,0.443
8.887,4.915,4.729,1.038,-0.179,0.422
8.854,4.678,4.614,0.985,-0.211,0.398
8.820,4.451,4.501,0.921,-0.287,0.369
8.825,4.175,4.484,0.837,-0.381,0.331
8.835,3.970,4.484,0.777,-0.430,0.300
8.863,3.785,4.472,0.722,-0.469,0.269
8.882,3.551,4.470,0.662,-0.491,0.226
8.899,3.385,4.477,0.621,-0.485,0.195
8.923,3.237,4.472,0.578,-0.452,0.162
9.024,3.117,4.427,0.507,-0.401,0.110
9.038,3.033,4.393,0.448,-0.352,0.063
9.029,2.947,4.357,0.389,-0.309,0.018
9.012,2.875,4.329,0.333,-0.264,-0.023
8.959,2.818,4.334,0.265,-0.187,-0.069
8.904,2.813,4.317,0.217,-0.124,-0.096
8.815,2.878,4.283,0.156,-0.064,-0.127
8.739,2.926,4.250,0.112,-0.041,-0.146
8.648,2.954,4.247,0.071,-0.030,-0.160
8.564,3.019,4.264,0.024,-0.014,-0.170
8.502,3.067,4.264,-0.006,-0.001,-0.175
8.452,3.120,4.247,-0.034,0.003,-0.176
8.423,3.184,4.211,-0.070,-0.003,-0.175
8.413,3.251,4.175,-0.095,-0.015,-0.173
8.404,3.330,4.166,-0.120,-0.024,-0.171
8.425,3.457,4.183,-0.157,-0.011,-0.167
8.456,3.555,4.178,-0.192,0.008,-0.166
8.487,3.656,4.149,-0.236,0.022,-0.168
8.552,3.797,4.118,-0.312,0.035,-0.175
8.607,3.919,4.125,-0.376,0.054,-0.185
8.674,4.027,4.147,-0.440,0.088,-0.197
8.739,4.166,4.128,-0.525,0.130,-0.215
8.763,4.271,4.113,-0.584,0.163,-0.227
8.775,4.326,4.092,-0.637,0.192,-0.236
8.772,4.381,4.075,-0.694,0.221,-0.242
8.734,4.398,4.065,-0.724,0.242,-0.241
8.724,4.381,4.089,-0.736,0.254,-0.231
8.677,4.295,4.080,-0.736,0.285,-0.213
8.703,4.269,4.104,-0.729,0.304,-0.195
8.746,4.231,4.142,-0.726,0.323,-0.181
8.724,4.149,4.104,-0.726,0.310,-0.176
8.677,4.106,4.099,-0.719,0.277,-0.167
8.667,4.061,4.152,-0.701,0.249,-0.154
8.684,4.049,4.207,-0.681,0.258,-0.142
8.679,4.025,4.254,-0.662,0.293,-0.132
8.667,4.037,4.262,-0.642,0.346,-0.121
8.588,4.003,4.168,-0.626,0.356,-0.115
8.514,3.967,4.099,-0.610,0.313,-0.108
8.420,3.955,4.108,-0.582,0.249,-0.098
8.368,3.936,4.113,-0.552,0.201,-0.087
8.327,3.929,4.144,-0.512,0.160,-0.072
8.267,3.900,4.168,-0.446,0.123,-0.046
8.226,3.862,4.152,-0.391,0.096,-0.024
8.186,3.792,4.156,-0.340,0.062,0.000
8.167,3.704,4.111,-0.280,0.005,0.027

-3.359,12.555,4.884,0.495,0.075,-4.021
