aX,aY,aZ,gX,gY,gZ
-2.622,2.049,9.055,0.298,-2.429,2.588
-2.258,2.040,8.904,0.315,-2.446,2.596
-1.997,1.913,8.751,0.336,-2.453,2.586
-1.729,1.520,8.602,0.368,-2.462,2.554
-1.427,1.202,8.499,0.389,-2.463,2.507
-1.166,0.883,8.408,0.406,-2.459,2.446
-0.804,0.637,8.250,0.430,-2.444,2.347
-0.608,0.517,8.169,0.447,-2.416,2.259
-0.498,0.421,8.064,0.471,-2.381,2.169
-0.388,0.340,8.021,0.505,-2.325,2.050
-0.271,0.321,7.985,0.533,-2.289,1.975
-0.098,0.338,8.001,0.565,-2.247,1.904
0.122,0.469,8.030,0.607,-2.186,1.806
0.333,0.608,7.987,0.631,-2.134,1.727
0.431,0.709,7.956,0.643,-2.077,1.642
0.713,0.972,7.994,0.634,-1.980,1.528
0.922,1.211,7.784,0.590,-1.937,1.418
0.924,1.173,7.784,0.523,-1.819,1.335
0.946,1.192,7.918,0.467,-1.686,1.261
0.972,1.204,8.064,0.422,-1.547,1.166
1.075,1.310,8.088,0.400,-1.474,1.085
1.223,1.446,8.085,0.377,-1.386,0.983
1.391,1.609,8.124,0.335,-1.247,0.829
1.420,1.645,8.217,0.304,-1.131,0.711
1.322,1.590,8.298,0.270,-1.047,0.608
1.324,1.628,8.313,0.221,-0.958,0.482
1.226,1.604,8.377,0.184,-0.885,0.399
1.192,1.638,8.411,0.148,-0.829,0.321
1.113,1.760,8.485,0.111,-0.747,0.216
1.061,1.901,8.514,0.087,-0.694,0.137
0.970,2.100,8.590,0.064,-0.645,0.060
0.867,2.334,8.686,0.039,-0.607,-0.007
0.682,2.636,8.748,-0.016,-0.580,-0.075
0.606,2.761,8.823,-0.072,-0.571,-0.103
0.364,2.863,8.940,-0.150,-0.564,-0.111
0.218,2.907,9.079,-0.199,-0.569,-0.100
0.153,2.959,9.203,-0.235,-0.584,-0.080
0.050,2.983,9.409,-0.254,-0.617,-0.043
-0.026,2.976,9.493,-0.246,-0.657,-0.008
-0.105,2.947,9.577,-0.225,-0.698,0.033
-0.168,2.895,9.661,-0.187,-0.767,0.092
-0.160,2.866,9.699,-0.156,-0.825,0.139
-0.129,2.871,9.752,-0.122,-0.881,0.186
-0.204,2.830,9.761,-0.073,-0.957,0.250
-0.220,2.813,9.737,-0.034,-1.015,0.302
-0.225,2.866,9.701,0.011,-1.068,0.351
-0.168,3.019,9.673,0.077,-1.138,0.410
-0.158,3.084,9.596,0.126,-1.195,0.447
-0.148,3.127,9.491,0.165,-1.252,0.485
-0.067,3.182,9.340,0.200,-1.326,0.529
0.017,3.242,9.234,0.213,-1.371,0.552
0.108,3.323,9.155,0.219,-1.403,0.563
0.208,3.433,9.017,0.220,-1.431,0.560
0.290,3.596,8.923,0.215,-1.445,0.552
0.402,3.737,8.811,0.199,-1.456,0.537
0.472,3.828,8.741,0.168,-1.458,0.520
0.558,3.891,8.626,0.117,-1.447,0.496
0.608,3.926,8.588,0.072,-1.437,0.483
0.675,4.017,8.578,0.025,-1.424,0.475
0.828,4.159,8.566,-0.054,-1.402,0.472
0.883,4.166,8.545,-0.127,-1.381,0.480
1.022,4.128,8.574,-0.203,-1.352,0.496
1.192,4.073,8.562,-0.305,-1.304,0.491
1.142,3.821,8.619,-0.370,-1.249,0.508
1.130,3.625,8.724,-0.418,-1.201,0.533
1.111,3.328,8.851,-0.444,-1.159,0.572
1.176,3.148,8.902,-0.443,-1.145,0.601
1.281,3.033,8.971,-0.429,-1.128,0.621
1.444,2.909,9.057,-0.395,-1.091,0.633
1.470,2.794,9.151,-0.357,-1.059,0.641
1.470,2.677,9.187,-0.308,-1.042,0.656
1.518,2.658,9.218,-0.228,-1.025,0.677
1.494,2.631,9.210,-0.164,-1.017,0.701
1.480,2.576,9.184,-0.105,-1.022,0.738
1.513,2.576,9.184,-0.031,-1.028,0.793
1.516,2.555,9.179,0.021,-1.036,0.836
1.568,2.550,9.127,0.067,-1.050,0.873
1.697,2.591,9.060,0.120,-1.059,0.908
1.769,2.622,8.981,0.148,-1.065,0.923
1.820,2.655,8.899,0.160,-1.067,0.929
1.889,2.689,8.803,0.154,-1.056,0.930
1.968,2.749,8.751,0.137,-1.039,0.926
2.030,2.799,8.677,0.114,-1.011,0.913
2.133,2.856,8.593,0.087,-0.976,0.891
2.217,2.837,8.514,0.049,-0.920,0.847
2.301,2.792,8.464,0.020,-0.876,0.807
2.339,2.715,8.425,-0.008,-0.830,0.761
2.389,2.567,8.384,-0.045,-0.768,0.701
2.428,2.437,8.341,-0.074,-0.722,0.659
2.452,2.272,8.305,-0.102,-0.675,0.619
2.468,2.061,8.365,-0.132,-0.611,0.570
2.495,1.937,8.411,-0.146,-0.569,0.534
2.519,1.863,8.487,-0.151,-0.530,0.495
2.521,1.781,8.571,-0.145,-0.484,0.444
